datetime,temperature,humidity,leafwet
20230501 0000,12.1,85.6,1.2
20230501 0100,11.3,89,1.9
20230501 0200,9,92.9,15
20230501 0300,8.1,96.2,15
20230501 0400,7.9,97.4,15
20230501 0500,9.2,98.2,15
20230501 0600,10.1,98.2,15
20230501 0700,10.9,97.3,2.6
20230501 0800,13.7,86.3,0.8
20230501 0900,15.4,74.5,0.6
20230501 1000,21.1,54,0.6
20230501 1100,21.3,48.2,0
20230501 1200,19.6,39.5,0
20230501 1300,20.5,37.6,0
20230501 1400,25.3,30.9,0
20230501 1500,25.5,30.4,0.6
20230501 1600,26.6,26.8,0
20230501 1700,26.8,23.4,0
20230501 1800,24.8,33.2,0
20230501 1900,14.8,58.4,0
20230501 2000,10.7,72.4,0.6
20230501 2100,8.5,78.4,0.6
20230501 2200,7.8,84,1.9
20230501 2300,6.9,87.3,9.2
20230502 0000,6.3,89.9,12.5
20230502 0100,6.1,91.9,14.9
20230502 0200,5.7,93.2,15
20230502 0300,5.3,94.1,15
20230502 0400,5,94.7,15
20230502 0500,5.1,95.3,15
20230502 0600,5.7,95.8,15
20230502 0700,10.8,96,2.1
20230502 0800,14.9,76.7,0.7
20230502 0900,18.6,57.1,0.6
20230502 1000,25.3,28.4,0
20230502 1100,24.9,23.6,0
20230502 1200,27.9,18,0
20230502 1300,26.8,23.7,0
20230502 1400,29.1,21.7,0
20230502 1500,28.6,22.4,0
20230502 1600,27.6,21.6,0
20230502 1700,28.7,19.4,0
20230502 1800,22.2,41.2,0
20230502 1900,17.4,51.1,0
20230502 2000,14.2,63.6,0.6
20230502 2100,12.6,70.9,0.8
20230502 2200,10.6,74.8,1.3
20230502 2300,9.7,78.7,1.1
20230503 0000,9.1,80.8,1.5
20230503 0100,9.8,81.9,1
20230503 0200,9.8,80.5,1.2
20230503 0300,8.6,83,1.3
20230503 0400,9.6,83,1.1
20230503 0500,9.4,84.9,5.9
20230503 0600,9.1,85.7,3.2
20230503 0700,11.3,86.3,1
20230503 0800,19.8,55.9,0.6
20230503 0900,21.5,42.6,0
20230503 1000,23.7,35.2,0
20230503 1100,26,29.6,0
20230503 1200,28,30.7,0
20230503 1300,29,29.3,0
20230503 1400,27.9,32.8,0
20230503 1500,26.5,41.7,0
20230503 1600,25.7,43.6,0
20230503 1700,23.9,52,0
20230503 1800,22.3,60.2,0
20230503 1900,19.5,73.4,0.8
20230503 2000,17.6,76.7,0.9
20230503 2100,16.7,79.7,1.1
20230503 2200,16,85.5,1.8
20230503 2300,16.8,80.1,1.1
20230504 0000,16.2,80.6,1.5
20230504 0100,14.3,87.5,4.9
20230504 0200,13.3,90,12.5
20230504 0300,12.8,92,14.1
20230504 0400,13.3,93.2,13.9
20230504 0500,13.7,94,12.5
20230504 0600,14.3,93.7,6.3
20230504 0700,16.4,91.2,1.3
20230504 0800,20,75.5,0.7
20230504 0900,26.3,53.9,0.6
