siteno,sitename,datetime,temp,windspeed,precipitation,airpress,humidity,itemp,ihumidity,leafwet
612,傍林,2023-05-01 1:00,12.1,2.3,0,1009.9,80,11.3,89,1.9
612,傍林,2023-05-01 2:00,10.5,0.4,0,1010.1,88,9,92.9,15
612,傍林,2023-05-01 3:00,9.2,0.2,0,1010.3,91,8.1,96.2,15
612,傍林,2023-05-01 4:00,9.6,1,0,1011,92,7.9,97.4,15
612,傍林,2023-05-01 5:00,8.3,1.1,0,1011.1,96,9.2,98.2,15
612,傍林,2023-05-01 6:00,8.3,0.8,0,1011.9,98,10.1,98.2,15
612,傍林,2023-05-01 7:00,9.4,1.9,0,1012.9,97,10.9,97.3,2.6
612,傍林,2023-05-01 8:00,11.1,2.1,0,1013.5,89,13.7,86.3,0.8
612,傍林,2023-05-01 9:00,14.1,2.4,0,1014.2,68,15.4,74.5,0.6
612,傍林,2023-05-01 10:00,15.7,1.5,0,1014.9,60,21.1,54,0.6
612,傍林,2023-05-01 11:00,17,1.5,0,1015.3,43,21.3,48.2,0
612,傍林,2023-05-01 12:00,16.5,4.4,0,1015.7,35,19.6,39.5,0
612,傍林,2023-05-01 13:00,17.5,3.6,0,1016.2,37,20.5,37.6,0
612,傍林,2023-05-01 14:00,20.1,2.8,0,1015.5,31,25.3,30.9,0
612,傍林,2023-05-01 15:00,20,3.3,0,1014.6,27,25.5,30.4,0.6
612,傍林,2023-05-01 16:00,21.4,2.1,0,1013.9,23,26.6,26.8,0
612,傍林,2023-05-01 17:00,21.2,2.2,0,1014.1,23,26.8,23.4,0
612,傍林,2023-05-01 18:00,20.5,1.1,0,1014.4,27,24.8,33.2,0
612,傍林,2023-05-01 19:00,17,0.7,0,1014.9,37,14.8,58.4,0
612,傍林,2023-05-01 20:00,14.1,1.1,0,1015.8,44,10.7,72.4,0.6
612,傍林,2023-05-01 21:00,11.7,0.1,0,1017,55,8.5,78.4,0.6
612,傍林,2023-05-01 22:00,10.2,0,0,1018,62,7.8,84,1.9
