doy,year,tmax,tmin
1,2001,4.554310322,-8.382403374
1,2002,7.427095413,-2.572112322
1,2003,3.056660175,-4.353599548
1,2004,8.905772209,-0.604800463
1,2005,1.985537767,-7.901876926
1,2006,5.613541603,-2.35624814
1,2007,6.491170406,-2.513884306
1,2008,-0.313355327,-5.124032497
1,2009,-0.420366973,-7.015029907
1,2010,1.508817196,-11.2685833
1,2011,-1.10776639,-12.83010483
1,2012,2.895025492,-4.37625742
1,2013,3.564445734,-5.823355675
1,2014,10.0636034,-0.361286372
1,2015,-0.989466906,-6.239858627
1,2016,7.675515175,-2.654178619
1,2017,10.64229965,0.059908092
1,2018,5.265356064,-3.336636782
1,2019,2.408544779,-3.869956017
1,2020,4.25744915,-6.55176878
2,2001,5.768600464,-1.819975734
2,2002,-1.009236932,-7.034114838
2,2003,2.451707602,-8.76644516
2,2004,6.850383282,-0.84772706
2,2005,6.251930714,-2.880482912
2,2006,6.541961193,0.292268038
2,2007,8.250137329,0.828660429
2,2008,3.055494308,-4.764858723
2,2009,3.794073343,-8.734587669
2,2010,7.589416981,-2.706572533
2,2011,2.051499844,-11.71227455
2,2012,1.764500141,-7.067946911
2,2013,0.696691215,-11.01467323
2,2014,9.543697357,-1.823901534
2,2015,-0.08713378,-7.416641235
2,2016,12.91524887,2.027496815
2,2017,10.5197773,0.744505644
2,2018,6.638638973,-4.005059719
2,2019,2.798908472,-5.527575016
2,2020,6.472613335,-3.396881342
3,2001,1.540291905,-6.378321648
3,2002,2.741574526,-9.610712051
3,2003,1.205433369,-4.05974102
3,2004,9.297001839,-1.715381265
3,2005,10.48417854,1.223717928
3,2006,4.028026104,-2.613913059
3,2007,11.4073925,-1.826596379
3,2008,7.844911575,-2.632098913
3,2009,5.742062092,-7.748456955
3,2010,1.132787585,-5.07337904
3,2011,0.177189976,-10.10256672
3,2012,3.647226572,-4.814440727
3,2013,-5.267239094,-13.07771015
3,2014,12.07837582,-2.362020016
3,2015,4.710106373,-9.648030281
3,2016,13.82031631,4.212995529
3,2017,8.778471947,-0.829352736
3,2018,1.787862182,-4.498766422
3,2019,4.410505772,-7.498186111
3,2020,7.475700378,-1.025417924
4,2001,-1.433624983,-7.946402073
4,2002,10.29066563,1.389638186
4,2003,-3.626868248,-8.590387344
4,2004,8.273117065,-3.9366889
4,2005,3.31105566,-5.629039764
4,2006,-1.104790092,-4.606252193
4,2007,12.82320023,-0.225592926
4,2008,6.363912106,-2.881782055
4,2009,5.483132839,-5.314150333
4,2010,3.935453176,-4.291921139
4,2011,2.175352335,-8.871459007
4,2012,-1.225381374,-5.202730656
4,2013,-2.845417976,-15.35690212
4,2014,6.191732407,-2.983473063
4,2015,10.52147961,-1.546216965
4,2016,9.64080143,1.012595296
4,2017,9.519622803,-0.796732247
4,2018,0.761237323,-4.475718021
4,2019,3.587323666,-6.808172226
4,2020,7.792775154,-2.963268042
5,2001,1.585131407,-10.09275627
5,2002,6.344446659,-3.380246639
5,2003,-5.956598282,-13.15452957
5,2004,9.895318031,-4.441941261
5,2005,1.325237393,-9.825527191
5,2006,-2.842782974,-8.537213326
5,2007,11.37437248,-0.774170995
5,2008,8.039372444,-3.248952866
5,2009,4.727245331,-4.233485699
5,2010,-1.316438675,-6.67216444
5,2011,2.422421217,-2.486330986
5,2012,1.997113109,-7.753053188
5,2013,2.070501328,-14.56563854
5,2014,5.519126892,-5.526910305
5,2015,12.57517624,-2.058743238
5,2016,4.092639923,-2.181968212
5,2017,9.561701775,0.273545146
5,2018,3.994963169,-2.767193794
5,2019,4.455379009,-4.254905224
5,2020,8.640392303,-3.884421587
6,2001,4.762284279,-8.949461937
6,2002,8.604349136,-5.873801231
6,2003,-1.141071916,-15.29302502
6,2004,9.482699394,-2.407828808
6,2005,6.647635937,-3.623140335
6,2006,-0.521280885,-7.460642338
6,2007,5.651973724,-2.056017876
6,2008,10.29420471,-1.628928542
6,2009,4.568855762,-7.471817017
6,2010,-2.279957294,-10.1569643
6,2011,-0.950811267,-7.759563923
6,2012,3.260752678,-8.131965637
