datetime,temperature,humidity,leafwet
20230728 1200,35.6,61.4,0.9
20230728 1300,35.3,54,0.8
20230728 1400,34.7,56.5,0.7
20230728 1500,36.7,53,0.7
20230728 1600,35.2,59.1,0.7
20230728 1700,35.7,59.4,0.7
20230728 1800,32.3,72.9,0.8
20230728 1900,27.7,88.2,8.3
20230728 2000,26.6,90.6,13.6
20230728 2100,25.8,92.7,14.8
20230728 2200,25.5,94.3,15
20230728 2300,25.2,94.6,14.7
20230729 0000,25.1,95.1,15
20230729 0100,24.9,95.4,15
20230729 0200,24.3,95.8,15
20230729 0300,24.3,96.1,15
20230729 0400,24,96.4,15
20230729 0500,23.6,96.6,15
20230729 0600,24.4,96.7,15
20230729 0700,26.2,95.9,13.5
20230729 0800,30.1,83.6,7.9
20230729 0900,32.6,72.8,2.4
20230729 1000,34.9,65.8,1.3
20230729 1100,34.3,62.8,1
20230729 1200,36.3,55.1,0.8
20230729 1300,35.3,62,0.8
20230729 1400,37.2,49.6,0.7
20230729 1500,38,43.2,0.7
20230729 1600,36.5,51,0.7
20230729 1700,35.4,59.5,0.7
20230729 1800,31.7,70.1,0.7
20230729 1900,29.8,76.7,1.8
20230729 2000,26.8,88.6,12
20230729 2100,25.8,92.5,15
20230729 2200,26.8,89.6,13.4
20230729 2300,26.3,91.4,15
20230730 0000,25.5,93.7,14.9
20230730 0100,25,94.7,15
20230730 0200,24.8,95.2,15
20230730 0300,24.4,95.8,15
20230730 0400,24.2,96.1,15
20230730 0500,24.1,96.3,14.8
20230730 0600,24,96.6,15
20230730 0700,25.7,96,15
20230730 0800,28.4,89.6,12.2
20230730 0900,32.2,72.8,2.2
20230730 1000,33.7,69.6,1.4
20230730 1100,34.8,62.2,0.9
20230730 1200,34.9,66.7,0.8
20230730 1300,36,57.1,0.8
20230730 1400,36.7,53.1,0.7
20230730 1500,36.9,59.3,0.7
20230730 1600,36.3,55.9,0.7
20230730 1700,29.1,80.5,2.7
20230730 1800,25.2,89.9,10.3
20230730 1900,25.8,92.4,12.4
20230730 2000,25.5,93,15
20230730 2100,25.1,94,15
20230730 2200,24.9,95.1,15
