datetime,temperature,humidity,leafwet
20240305 1200,12.3,96.9,0.9
20240305 1300,12.8,94.8,0.8
20240305 1400,13.2,94.2,0.8
20240305 1500,13,93.8,0.7
20240305 1600,13.1,92.8,0.7
20240305 1700,11.6,93.2,1.4
20240305 1800,11.1,94.8,8.3
20240305 1900,10.6,96.2,11.3
20240305 2000,10.3,97,12.3
20240305 2100,10.1,97.4,12.8
20240305 2200,10.2,97.6,12.9
20240305 2300,10.4,97.9,13.4
20240306 0000,10.2,98.2,13.6
20240306 0100,9.9,98.4,14
20240306 0200,9.8,98.7,14.1
20240306 0300,9.8,98.8,14.1
20240306 0400,9.8,98.6,14.1
20240306 0500,10.1,97.8,13.8
20240306 0600,10.4,97.2,13.3
20240306 0700,10.2,96.5,13.2
20240306 0800,11.8,94.3,0.8
20240306 0900,23.3,59.1,0.6
20240306 1000,20.1,54,0
20240306 1100,20.8,46.3,0
20240306 1200,22.1,43.6,0
20240306 1300,21.5,41.5,0
20240306 1400,20,46.7,0
20240306 1500,22.7,54.9,0
20240306 1600,22.1,50.3,0
